nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x
0.3682657,0.5573189,0.38073105,0.52101845,0.4006765,0.5942257,0.4445642,0.5037544,0.45187363,0.595013,0.49994284,0.51671153,0.5126877,0.57109535,0.48799822,0.514689,0.49107966,0.572348,0.564757,0.5044473,0.56742233,0.5839705,0.6647692,0.47422236,0.6695156,0.5833483
0.109103836,0.5585315,0.17975248,0.45276743,0.20261802,0.6496793,0.32770267,0.42216522,0.33254805,0.65079844,0.34822965,0.5075589,0.33145288,0.57918984,0.4358659,0.4658267,0.4411818,0.5783144,0.67747855,0.4177104,0.6768683,0.61915135,0.89963275,0.34673405,0.89296055,0.640675
0.14021583,0.54693216,0.21403497,0.44802776,0.22788759,0.63013834,0.3377784,0.4227241,0.3540751,0.6350723,0.34206057,0.5018777,0.34653324,0.5625718,0.45178637,0.45680785,0.4533003,0.5650992,0.6771242,0.41994914,0.6762484,0.61627173,0.8943519,0.35605493,0.8805959,0.63795626
0.123159386,0.5467083,0.20376703,0.44176513,0.22279271,0.6240037,0.33194196,0.4202813,0.3454765,0.62570006,0.33032933,0.4915138,0.3249957,0.5633667,0.4499326,0.4481034,0.45090327,0.55556387,0.67446864,0.42097497,0.67082435,0.6135818,0.88502157,0.35625005,0.8786669,0.63786525
0.1265006,0.5385957,0.20079845,0.43477914,0.21869832,0.61708343,0.31761405,0.4155879,0.3372528,0.629232,0.32029432,0.47899598,0.31513804,0.5638424,0.44398338,0.44159123,0.44569767,0.54989576,0.6700556,0.41943556,0.664852,0.60814846,0.8801364,0.36002913,0.8788256,0.64249396
0.12695006,0.53359455,0.19625852,0.43461844,0.21472028,0.6064056,0.31993484,0.40985334,0.32809266,0.62780434,0.31349137,0.49755737,0.30794165,0.54480284,0.43628517,0.4316488,0.43853697,0.5438561,0.6717379,0.4103829,0.65990627,0.59805036,0.8820537,0.3572795,0.8745469,0.639496
0.13194808,0.531729,0.19707826,0.43139672,0.21087772,0.6061159,0.31675726,0.40599397,0.3345042,0.6227159,0.3252462,0.48982382,0.3221899,0.55077606,0.43174732,0.4282914,0.4380182,0.54186475,0.6660949,0.40268752,0.65957195,0.5984027,0.8842581,0.3541067,0.87571037,0.6412045
0.13144179,0.5303731,0.19805165,0.43396795,0.21160796,0.60366035,0.32447156,0.40246814,0.3357609,0.62027097,0.3217829,0.49427828,0.30707136,0.5507506,0.43258378,0.42787346,0.43596688,0.53665334,0.6669111,0.4012735,0.6588627,0.5984322,0.881703,0.3472288,0.87895584,0.6435476
0.13570797,0.52664685,0.20256655,0.43354848,0.21354827,0.5950645,0.32325926,0.39895856,0.34050205,0.618846,0.32215115,0.48297647,0.30384627,0.5533142,0.43933573,0.42500418,0.43931168,0.5361884,0.6695245,0.4003559,0.66370755,0.5998753,0.8811372,0.33955187,0.8830105,0.63790673
0.14415902,0.53445506,0.20749137,0.43345568,0.22350705,0.6072636,0.32117784,0.40194875,0.33923697,0.6319848,0.3192642,0.48314786,0.3094968,0.57500494,0.44588256,0.42680493,0.4460556,0.53787684,0.6801998,0.40900853,0.67050564,0.6134518,0.8969885,0.33507085,0.89377284,0.6409642
